Mapping-template-london-ward-map-2018,Ward name,Borough name,shape,Values,,,Ensure Macros are enabled then paste your data into column E,,,,,,"To use different colours to the default ones, find the RGB values of the colours you want, and enter them into the cell grid starting in U22.",,,,,,,,,UpdateAllcells,,MapNameToShape,,,,,,,,,,,,1.0,Equal Ranges (4),38.7,755.0,,,,,,,,,,,MapNameToShape,
E05000105,Willesden Green,Brent,Freeform_13750,212.5,,,,,,,,,,,,,,,,,,,Feltham West,Freeform_13644,Freeform 13644,,,,,,,,,,,,,,,,,,,,,E05000352,Feltham West,Hounslow,Feltham West,Freeform_13644,Freeform 79
E05000106,Bickley,Bromley,Freeform_13624,275.9,,,,,,,,,,,,,,,,,,,Hanworth Park,Freeform_13645,Freeform 13645,,,,,,,,,,,,,,,,,,,,,E05000354,Hanworth Park,Hounslow,Hanworth Park,Freeform_13645,Freeform 80
E05000107,Biggin Hill,Bromley,Freeform_13617,231.9,,,,,,,,,,,,,,,,,,,Feltham North,Freeform_13646,Freeform 13646,,,,,,,,,,,,,,,,,,,,,E05000351,Feltham North,Hounslow,Feltham North,Freeform_13646,Freeform 81
E05000108,Bromley Common and Keston,Bromley,Freeform_13615,160.4,,,,,,,,,,,,,,,,,,,Hounslow Heath,Freeform_13647,Freeform 13647,,,,,,,,,,,,,,,,,,,,,E05000359,Hounslow Heath,Hounslow,Hounslow Heath,Freeform_13647,Freeform 82
E05000109,Bromley Town,Bromley,Freeform_13623,154.8,,,,,,,,,,,,,,,,,,,Hounslow West,Freeform_13648,Freeform 13648,,,,,,,,,,,,,,,,,,,,,E05000361,Hounslow West,Hounslow,Hounslow West,Freeform_13648,Freeform 83
E05000110,Chelsfield and Pratts Bottom,Bromley,Freeform_13616,486.9,,,,,,,,,,,,,,,,,,,Heston Central,Freeform_13649,Freeform 13649,,,,,,,,,,,,,,,,,,,,,E05000355,Heston Central,Hounslow,Heston Central,Freeform_13649,Freeform 84
E05000111,Chislehurst,Bromley,Freeform_13630,828.0,,,,,,,,,,,,,,,,,,,Hounslow South,Freeform_13650,Freeform 13650,,,,,,,,,,,,,,,,,,,,,E05000360,Hounslow South,Hounslow,Hounslow South,Freeform_13650,Freeform 85
E05000112,Clock House,Bromley,Freeform_13619,830.8,,,,,,,,,,,,,,,,,,,Isleworth,Freeform_13651,Freeform 13651,,,,,,,,,,,,,,,,,,,,,E05000362,Isleworth,Hounslow,Isleworth,Freeform_13651,Freeform 86
E05000113,Copers Cope,Bromley,Freeform_13628,371.7,,,,,,,,,,,,,,,,,,,Hounslow Central,Freeform_13652,Freeform 13652,,,,,,,,,,,,,,,,,,,,,E05000358,Hounslow Central,Hounslow,Hounslow Central,Freeform_13652,Freeform 87
E05000114,Cray Valley East,Bromley,Freeform_13634,"1,256.3",,,,,,,,,,,,,,,,,,,Chiswick Riverside,Freeform_13653,Freeform 13653,,,,,,,,,,,,,,,,,,,,,E05000349,Chiswick Riverside,Hounslow,Chiswick Riverside,Freeform_13653,Freeform 88
E05000115,Cray Valley West,Bromley,Freeform_13633,"1,044.1",,,,,,,,,,,,,,,,,,,Turnham Green,Freeform_13654,Freeform 13654,,,,,,,,,,,,,,,,,,,,,E05000365,Turnham Green,Hounslow,Turnham Green,Freeform_13654,Freeform 89
E05000116,Crystal Palace,Bromley,Freeform_13626,226.6,,,,,,,,,,,,,,,,,,,Norwood Green,Freeform_13655,Freeform 13655,,,,,,,,,,,,,,,,,,,,,E05000186,Norwood Green,Ealing,Norwood Green,Freeform_13655,Freeform 90
