Date,Vehicle type,Number of bookings,Number of spaces
11/08/2023,Recycling centre A (pedestrian / bicycle),2,15
12/08/2023,Recycling centre A (cars / small vans),268,320
12/08/2023,Recycling centre A (medium / large vans),24,17
12/08/2023,Recycling centre A (pedestrian / bicycle),0,15
13/08/2023,Recycling centre A (cars / small vans),322,320
13/08/2023,Recycling centre A (medium / large vans),24,17
13/08/2023,Recycling centre A (pedestrian / bicycle),2,15
14/08/2023,Recycling centre A (cars / small vans),266,320
14/08/2023,Recycling centre A (medium / large vans),24,17
14/08/2023,Recycling centre A (pedestrian / bicycle),2,15
17/08/2023,Recycling centre A (cars / small vans),238,320
17/08/2023,Recycling centre A (medium / large vans),26,17
17/08/2023,Recycling centre A (pedestrian / bicycle),0,15
18/08/2023,Recycling centre A (cars / small vans),296,320
18/08/2023,Recycling centre A (medium / large vans),20,17
18/08/2023,Recycling centre A (pedestrian / bicycle),2,15
19/08/2023,Recycling centre A (cars / small vans),222,320
19/08/2023,Recycling centre A (medium / large vans),26,17
19/08/2023,Recycling centre A (pedestrian / bicycle),2,15
20/08/2023,Recycling centre A (cars / small vans),262,320
20/08/2023,Recycling centre A (medium / large vans),26,17
20/08/2023,Recycling centre A (pedestrian / bicycle),2,15
21/08/2023,Recycling centre A (cars / small vans),292,320
21/08/2023,Recycling centre A (medium / large vans),26,17
21/08/2023,Recycling centre A (pedestrian / bicycle),0,15
24/08/2023,Recycling centre A (cars / small vans),234,320
24/08/2023,Recycling centre A (medium / large vans),26,17
24/08/2023,Recycling centre A (pedestrian / bicycle),0,15
25/08/2023,Recycling centre A (cars / small vans),288,320
25/08/2023,Recycling centre A (medium / large vans),26,17
25/08/2023,Recycling centre A (pedestrian / bicycle),2,15
26/08/2023,Recycling centre A (cars / small vans),233,320
26/08/2023,Recycling centre A (medium / large vans),26,17
26/08/2023,Recycling centre A (pedestrian / bicycle),2,15
27/08/2023,Recycling centre A (cars / small vans),223,320
27/08/2023,Recycling centre A (medium / large vans),26,17
27/08/2023,Recycling centre A (pedestrian / bicycle),2,15
28/08/2023,Recycling centre A (cars / small vans),222,320
28/08/2023,Recycling centre A (medium / large vans),26,17
28/08/2023,Recycling centre A (pedestrian / bicycle),2,15
31/08/2023,Recycling centre A (cars / small vans),289,320
31/08/2023,Recycling centre A (medium / large vans),26,17
31/08/2023,Recycling centre A (pedestrian / bicycle),2,15
01/09/2023,Recycling centre A (cars / small vans),246,320
01/09/2023,Recycling centre A (medium / large vans),26,17
01/09/2023,Recycling centre A (pedestrian / bicycle),2,15
02/09/2023,Recycling centre A (cars / small vans),238,320
02/09/2023,Recycling centre A (medium / large vans),26,17
02/09/2023,Recycling centre A (pedestrian / bicycle),2,15
03/09/2023,Recycling centre A (cars / small vans),328,320
03/09/2023,Recycling centre A (medium / large vans),26,17
03/09/2023,Recycling centre A (pedestrian / bicycle),2,15
04/09/2023,Recycling centre A (cars / small vans),263,320
04/09/2023,Recycling centre A (medium / large vans),23,17
04/09/2023,Recycling centre A (pedestrian / bicycle),2,15
07/09/2023,Recycling centre A (cars / small vans),229,320
07/09/2023,Recycling centre A (medium / large vans),23,17
07/09/2023,Recycling centre A (pedestrian / bicycle),0,15
08/09/2023,Recycling centre A (cars / small vans),260,320
08/09/2023,Recycling centre A (medium / large vans),23,17
08/09/2023,Recycling centre A (pedestrian / bicycle),0,15
09/09/2023,Recycling centre A (cars / small vans),288,320
09/09/2023,Recycling centre A (medium / large vans),26,17
09/09/2023,Recycling centre A (pedestrian / bicycle),3,15
10/09/2023,Recycling centre A (cars / small vans),283,320
10/09/2023,Recycling centre A (medium / large vans),26,17
10/09/2023,Recycling centre A (pedestrian / bicycle),2,15
11/09/2023,Recycling centre A (cars / small vans),262,320
11/09/2023,Recycling centre A (medium / large vans),24,17
11/09/2023,Recycling centre A (pedestrian / bicycle),2,15
14/09/2023,Recycling centre A (cars / small vans),223,320
14/09/2023,Recycling centre A (medium / large vans),26,17
14/09/2023,Recycling centre A (pedestrian / bicycle),4,15
15/09/2023,Recycling centre A (cars / small vans),268,320
15/09/2023,Recycling centre A (medium / large vans),24,17
15/09/2023,Recycling centre A (pedestrian / bicycle),2,15
16/09/2023,Recycling centre A (cars / small vans),260,320
16/09/2023,Recycling centre A (medium / large vans),24,17
16/09/2023,Recycling centre A (pedestrian / bicycle),2,15
17/09/2023,Recycling centre A (cars / small vans),336,320
17/09/2023,Recycling centre A (medium / large vans),26,17
17/09/2023,Recycling centre A (pedestrian / bicycle),2,15
18/09/2023,Recycling centre A (cars / small vans),226,320
18/09/2023,Recycling centre A (medium / large vans),24,17
18/09/2023,Recycling centre A (pedestrian / bicycle),2,15
21/09/2023,Recycling centre A (cars / small vans),262,320
21/09/2023,Recycling centre A (medium / large vans),26,17
21/09/2023,Recycling centre A (pedestrian / bicycle),2,15
22/09/2023,Recycling centre A (cars / small vans),229,320
22/09/2023,Recycling centre A (medium / large vans),26,17
22/09/2023,Recycling centre A (pedestrian / bicycle),0,15
23/09/2023,Recycling centre A (cars / small vans),206,320
23/09/2023,Recycling centre A (medium / large vans),23,17
23/09/2023,Recycling centre A (pedestrian / bicycle),3,15
24/09/2023,Recycling centre A (cars / small vans),283,320
24/09/2023,Recycling centre A (medium / large vans),26,17
24/09/2023,Recycling centre A (pedestrian / bicycle),2,15
25/09/2023,Recycling centre A (cars / small vans),243,320
25/09/2023,Recycling centre A (medium / large vans),24,17
25/09/2023,Recycling centre A (pedestrian / bicycle),0,15
28/09/2023,Recycling centre A (cars / small vans),209,320
28/09/2023,Recycling centre A (medium / large vans),24,17
28/09/2023,Recycling centre A (pedestrian / bicycle),0,15
29/09/2023,Recycling centre A (cars / small vans),232,320
29/09/2023,Recycling centre A (medium / large vans),22,17
29/09/2023,Recycling centre A (pedestrian / bicycle),2,15
30/09/2023,Recycling centre A (cars / small vans),246,320
30/09/2023,Recycling centre A (medium / large vans),9,17
30/09/2023,Recycling centre A (pedestrian / bicycle),2,15
01/10/2023,Recycling centre A (cars / small vans),263,320
01/10/2023,Recycling centre A (medium / large vans),26,17
01/10/2023,Recycling centre A (pedestrian / bicycle),2,15
02/10/2023,Recycling centre A (cars / small vans),229,320
02/10/2023,Recycling centre A (medium / large vans),26,17
02/10/2023,Recycling centre A (pedestrian / bicycle),2,15
05/10/2023,Recycling centre A (cars / small vans),284,320
05/10/2023,Recycling centre A (medium / large vans),26,17
05/10/2023,Recycling centre A (pedestrian / bicycle),0,15
06/10/2023,Recycling centre A (cars / small vans),226,320
06/10/2023,Recycling centre A (medium / large vans),8,17
06/10/2023,Recycling centre A (pedestrian / bicycle),0,15
07/10/2023,Recycling centre A (cars / small vans),224,320
07/10/2023,Recycling centre A (medium / large vans),26,17
07/10/2023,Recycling centre A (pedestrian / bicycle),2,15
08/10/2023,Recycling centre A (cars / small vans),298,320
08/10/2023,Recycling centre A (medium / large vans),26,17
08/10/2023,Recycling centre A (pedestrian / bicycle),3,15
09/10/2023,Recycling centre A (cars / small vans),226,320
09/10/2023,Recycling centre A (medium / large vans),26,17
09/10/2023,Recycling centre A (pedestrian / bicycle),2,15
12/10/2023,Recycling centre A (cars / small vans),220,320
12/10/2023,Recycling centre A (medium / large vans),26,17
12/10/2023,Recycling centre A (pedestrian / bicycle),0,15
13/10/2023,Recycling centre A (cars / small vans),86,320
13/10/2023,Recycling centre A (medium / large vans),24,17
13/10/2023,Recycling centre A (pedestrian / bicycle),2,15
14/10/2023,Recycling centre A (cars / small vans),232,320
14/10/2023,Recycling centre A (medium / large vans),26,17
14/10/2023,Recycling centre A (pedestrian / bicycle),0,15
15/10/2023,Recycling centre A (cars / small vans),233,320
15/10/2023,Recycling centre A (medium / large vans),26,17
15/10/2023,Recycling centre A (pedestrian / bicycle),0,15
16/10/2023,Recycling centre A (cars / small vans),239,320
16/10/2023,Recycling centre A (medium / large vans),23,17
16/10/2023,Recycling centre A (pedestrian / bicycle),0,15
19/10/2023,Recycling centre A (cars / small vans),262,320
19/10/2023,Recycling centre A (medium / large vans),23,17
19/10/2023,Recycling centre A (pedestrian / bicycle),0,15
20/10/2023,Recycling centre A (cars / small vans),220,320
20/10/2023,Recycling centre A (medium / large vans),22,17
20/10/2023,Recycling centre A (pedestrian / bicycle),2,15
21/10/2023,Recycling centre A (cars / small vans),240,320
21/10/2023,Recycling centre A (medium / large vans),23,17
21/10/2023,Recycling centre A (pedestrian / bicycle),2,15
22/10/2023,Recycling centre A (cars / small vans),293,320
22/10/2023,Recycling centre A (medium / large vans),22,17
22/10/2023,Recycling centre A (pedestrian / bicycle),0,15
23/10/2023,Recycling centre A (cars / small vans),242,320
23/10/2023,Recycling centre A (medium / large vans),26,17
23/10/2023,Recycling centre A (pedestrian / bicycle),2,15
26/10/2023,Recycling centre A (cars / small vans),266,320
26/10/2023,Recycling centre A (medium / large vans),24,17
26/10/2023,Recycling centre A (pedestrian / bicycle),2,15
27/10/2023,Recycling centre A (cars / small vans),203,320
27/10/2023,Recycling centre A (medium / large vans),26,17
27/10/2023,Recycling centre A (pedestrian / bicycle),2,15
28/10/2023,Recycling centre A (cars / small vans),226,320
28/10/2023,Recycling centre A (medium / large vans),26,17
28/10/2023,Recycling centre A (pedestrian / bicycle),3,15
29/10/2023,Recycling centre A (cars / small vans),226,320
29/10/2023,Recycling centre A (medium / large vans),26,17
29/10/2023,Recycling centre A (pedestrian / bicycle),2,15
30/10/2023,Recycling centre A (cars / small vans),93,320
30/10/2023,Recycling centre A (medium / large vans),26,17
30/10/2023,Recycling centre A (pedestrian / bicycle),2,15
02/11/2023,Recycling centre A (cars / small vans),240,320
02/11/2023,Recycling centre A (medium / large vans),9,17
02/11/2023,Recycling centre A (pedestrian / bicycle),2,15
03/11/2023,Recycling centre A (cars / small vans),223,320
03/11/2023,Recycling centre A (medium / large vans),3,17
03/11/2023,Recycling centre A (pedestrian / bicycle),0,15
04/11/2023,Recycling centre A (cars / small vans),292,320
04/11/2023,Recycling centre A (medium / large vans),23,17
04/11/2023,Recycling centre A (pedestrian / bicycle),2,15
05/11/2023,Recycling centre A (cars / small vans),263,320
05/11/2023,Recycling centre A (medium / large vans),26,17
05/11/2023,Recycling centre A (pedestrian / bicycle),2,15
06/11/2023,Recycling centre A (cars / small vans),202,320
06/11/2023,Recycling centre A (medium / large vans),22,17
06/11/2023,Recycling centre A (pedestrian / bicycle),0,15
09/11/2023,Recycling centre A (cars / small vans),244,320
09/11/2023,Recycling centre A (medium / large vans),26,17
09/11/2023,Recycling centre A (pedestrian / bicycle),0,15
10/11/2023,Recycling centre A (cars / small vans),209,320
10/11/2023,Recycling centre A (medium / large vans),26,17
10/11/2023,Recycling centre A (pedestrian / bicycle),2,15
11/11/2023,Recycling centre A (cars / small vans),283,320
11/11/2023,Recycling centre A (medium / large vans),26,17
11/11/2023,Recycling centre A (pedestrian / bicycle),2,15
12/11/2023,Recycling centre A (cars / small vans),296,320
12/11/2023,Recycling centre A (medium / large vans),26,17
12/11/2023,Recycling centre A (pedestrian / bicycle),2,15
13/11/2023,Recycling centre A (cars / small vans),223,320
13/11/2023,Recycling centre A (medium / large vans),20,17
13/11/2023,Recycling centre A (pedestrian / bicycle),2,15
16/11/2023,Recycling centre A (cars / small vans),266,320
16/11/2023,Recycling centre A (medium / large vans),22,17
16/11/2023,Recycling centre A (pedestrian / bicycle),2,15
17/11/2023,Recycling centre A (cars / small vans),206,320
17/11/2023,Recycling centre A (medium / large vans),24,17
17/11/2023,Recycling centre A (pedestrian / bicycle),0,15
18/11/2023,Recycling centre A (cars / small vans),283,320
18/11/2023,Recycling centre A (medium / large vans),24,17
18/11/2023,Recycling centre A (pedestrian / bicycle),0,15
19/11/2023,Recycling centre A (cars / small vans),294,320
19/11/2023,Recycling centre A (medium / large vans),23,17
19/11/2023,Recycling centre A (pedestrian / bicycle),2,15
20/11/2023,Recycling centre A (cars / small vans),230,320
20/11/2023,Recycling centre A (medium / large vans),3,17
20/11/2023,Recycling centre A (pedestrian / bicycle),2,15
23/11/2023,Recycling centre A (cars / small vans),289,320
23/11/2023,Recycling centre A (medium / large vans),26,17
23/11/2023,Recycling centre A (pedestrian / bicycle),0,15
24/11/2023,Recycling centre A (cars / small vans),229,320
24/11/2023,Recycling centre A (medium / large vans),26,17
24/11/2023,Recycling centre A (pedestrian / bicycle),2,15
