Date,Group,Total booked,Total spaces
05/11/2023,Recycling centre A (pedestrian / bicycle),1,48
06/11/2023,Recycling centre A (car / small van),102,400
06/11/2023,Recycling centre A (medium / large van),12,15
06/11/2023,Recycling centre A (pedestrian / bicycle),0,48
09/11/2023,Recycling centre A (car / small van),144,400
09/11/2023,Recycling centre A (medium / large van),15,15
09/11/2023,Recycling centre A (pedestrian / bicycle),0,48
10/11/2023,Recycling centre A (car / small van),109,400
10/11/2023,Recycling centre A (medium / large van),15,15
10/11/2023,Recycling centre A (pedestrian / bicycle),1,48
11/11/2023,Recycling centre A (car / small van),183,400
11/11/2023,Recycling centre A (medium / large van),15,15
11/11/2023,Recycling centre A (pedestrian / bicycle),1,48
12/11/2023,Recycling centre A (car / small van),195,400
12/11/2023,Recycling centre A (medium / large van),15,15
12/11/2023,Recycling centre A (pedestrian / bicycle),1,48
13/11/2023,Recycling centre A (car / small van),127,400
13/11/2023,Recycling centre A (medium / large van),10,15
13/11/2023,Recycling centre A (pedestrian / bicycle),1,48
16/11/2023,Recycling centre A (car / small van),155,400
16/11/2023,Recycling centre A (medium / large van),12,15
16/11/2023,Recycling centre A (pedestrian / bicycle),2,48
17/11/2023,Recycling centre A (car / small van),106,400
17/11/2023,Recycling centre A (medium / large van),14,15
17/11/2023,Recycling centre A (pedestrian / bicycle),0,48
18/11/2023,Recycling centre A (car / small van),183,400
18/11/2023,Recycling centre A (medium / large van),14,15
18/11/2023,Recycling centre A (pedestrian / bicycle),0,48
19/11/2023,Recycling centre A (car / small van),194,400
19/11/2023,Recycling centre A (medium / large van),13,15
19/11/2023,Recycling centre A (pedestrian / bicycle),1,48
20/11/2023,Recycling centre A (car / small van),130,400
20/11/2023,Recycling centre A (medium / large van),7,15
20/11/2023,Recycling centre A (pedestrian / bicycle),2,48
23/11/2023,Recycling centre A (car / small van),189,400
23/11/2023,Recycling centre A (medium / large van),15,15
23/11/2023,Recycling centre A (pedestrian / bicycle),0,48
24/11/2023,Recycling centre A (car / small van),129,400
24/11/2023,Recycling centre A (medium / large van),15,15
24/11/2023,Recycling centre A (pedestrian / bicycle),1,48
25/11/2023,Recycling centre A (car / small van),202,400
25/11/2023,Recycling centre A (medium / large van),13,15
25/11/2023,Recycling centre A (pedestrian / bicycle),5,48
26/11/2023,Recycling centre A (car / small van),218,400
26/11/2023,Recycling centre A (medium / large van),14,15
26/11/2023,Recycling centre A (pedestrian / bicycle),3,48
27/11/2023,Recycling centre A (car / small van),114,400
27/11/2023,Recycling centre A (medium / large van),11,15
27/11/2023,Recycling centre A (pedestrian / bicycle),1,48
30/11/2023,Recycling centre A (car / small van),149,400
30/11/2023,Recycling centre A (medium / large van),14,15
30/11/2023,Recycling centre A (pedestrian / bicycle),1,48
01/12/2023,Recycling centre A (car / small van),97,400
01/12/2023,Recycling centre A (medium / large van),13,15
01/12/2023,Recycling centre A (pedestrian / bicycle),0,48
02/12/2023,Recycling centre A (car / small van),151,400
02/12/2023,Recycling centre A (medium / large van),14,15
02/12/2023,Recycling centre A (pedestrian / bicycle),3,48
03/12/2023,Recycling centre A (car / small van),202,400
03/12/2023,Recycling centre A (medium / large van),13,15
03/12/2023,Recycling centre A (pedestrian / bicycle),1,48
